,GDP,Gross primary education enrollment (%),Gross tertiary education enrollment (%),Infant mortality,Largest city,Life expectancy,Maternal mortality ratio,Minimum wage,Official language,Out of pocket health expenditure,Physicians per thousand,Population,Population: Labor force participation (%),Tax revenue (%),Total tax rate,Unemployment rate,Urban_population,country,latitude,longitude,Continent
0,19101353833.0,104.0,9.7,47.9,Kabul,64.5,638.0,0.43,Pashto,78.4,0.28,38041754.0,48.9,9.3,71.4,11.12,"9,797,273",Afghanistan,33.93911,67.709953,Asia
1,15278077447.0,107.0,55.0,7.8,Tirana,78.5,15.0,1.12,Albanian,56.9,1.2,2854191.0,55.7,18.6,36.6,12.33,"1,747,593",Albania,41.153332,20.168331,Europa
2,169988236398.0,109.9,51.4,20.1,Algiers,76.7,112.0,0.95,Arabic,28.1,1.72,43053054.0,41.2,37.2,66.1,11.7,"31,510,100",Algeria,28.033886,1.659626,Asia
3,3154057987.0,106.4,,2.7,Andorra la Vella,,,6.63,Catalan,36.4,3.33,77142.0,,,,,"67,873",Andorra,42.506285,1.521801,Europa
4,94635415870.0,113.5,9.3,51.6,Luanda,60.8,241.0,0.71,Portuguese,33.4,0.21,31825295.0,77.5,9.2,49.1,6.89,"21,061,025",Angola,-11.202692,17.873887,Africa
5,1727759259.0,105.0,24.8,5.0,"St. John's, Saint John",76.9,42.0,3.04,English,24.3,2.76,97118.0,,16.5,43.0,,"23,800",Antigua and Barbuda,17.060816,-61.796428,America
6,449663446954.0,109.7,90.0,8.8,Buenos Aires,76.5,39.0,3.35,Spanish,17.6,3.96,44938712.0,61.3,10.1,106.3,9.79,"41,339,571",Argentina,-38.416097,-63.616672,America
7,13672802158.0,92.7,54.6,11.0,Yerevan,74.9,26.0,0.66,Armenian,81.6,4.4,2957731.0,55.6,20.9,22.6,16.99,"1,869,848",Armenia,40.069099,45.038189,Asia
8,1392680589329.0,100.3,113.1,3.1,Sydney,82.7,6.0,13.59,,19.6,3.68,25766605.0,65.5,23.0,47.4,5.27,"21,844,756",Australia,-25.274398,133.775136,Oceania
9,446314739528.0,103.1,85.1,2.9,Vienna,81.6,5.0,,German,17.9,5.17,8877067.0,60.7,25.4,51.4,4.67,"5,194,416",Austria,47.516231,14.550072,Europa
